,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01010114,370,370,-,-,370,366,-,4,6,42,32,289,1,-,-
S01010115,241,241,-,-,241,230,11,-,6,145,61,29,-,-,-
S01010116,399,399,-,-,399,397,-,2,51,151,93,104,-,-,-
S01010117,272,272,-,-,272,261,1,10,101,50,41,75,5,-,-
S01010118,286,286,-,-,286,277,-,9,14,46,53,173,-,-,-
S01010119,212,212,-,-,212,209,-,3,11,85,56,59,-,-,1
S01010120,446,446,-,-,446,444,1,1,14,97,78,256,1,-,-
S01010121,322,322,-,-,322,321,-,1,2,43,47,228,2,-,-
S01010122,199,199,-,-,199,198,-,1,7,66,22,102,2,-,-
S01010123,299,299,-,-,299,299,-,-,4,50,30,215,-,-,-
S01010124,295,295,-,-,295,293,-,2,1,2,8,281,2,-,1
S01010125,249,249,-,-,249,242,-,7,7,46,27,168,-,-,1
S01010126,314,314,-,-,314,312,-,2,38,77,133,65,1,-,-
S01010127,296,296,-,-,296,296,-,-,5,80,133,78,-,-,-
S01010128,216,216,-,-,216,214,-,2,-,3,15,196,2,-,-
S01010129,357,357,-,-,357,350,-,7,1,23,16,315,2,-,-
S01010130,207,207,-,-,207,206,-,1,2,13,33,157,-,2,-
S01010131,385,385,-,-,385,376,-,9,127,187,20,41,1,-,9
S01010132,500,500,-,-,500,497,-,3,8,49,114,294,-,-,35
S01010133,388,388,-,-,388,380,-,8,3,37,135,210,-,-,3
S01010134,559,559,-,-,559,551,-,8,14,61,97,385,1,-,1
S01010135,367,367,-,-,367,365,-,2,7,119,88,152,1,-,-
S01010136,380,380,-,-,380,367,-,13,20,99,152,97,12,-,-
S01010137,598,598,-,-,598,583,-,15,6,15,18,553,6,-,-
S01010138,667,666,1,-,668,660,1,7,9,56,43,555,1,1,3
S01010139,560,560,-,-,560,552,-,8,9,80,25,438,3,4,1
S01010140,421,421,-,-,421,384,1,36,10,77,37,295,-,-,2
S01010141,455,455,-,-,455,447,-,8,2,7,17,425,-,3,1
S01010142,288,288,-,-,288,288,-,-,4,53,24,200,4,2,1
S01010143,397,397,-,-,397,391,-,6,1,64,139,190,3,-,-
S01010144,406,406,-,-,406,372,1,33,11,33,11,350,1,-,-
S01010145,409,409,-,-,409,397,-,12,23,57,55,267,5,2,-
S01010146,415,415,-,-,415,406,-,9,5,43,32,334,-,-,1
S01010147,500,499,1,-,501,494,-,7,8,6,18,448,1,2,18
S01010148,357,357,-,-,357,356,-,1,10,17,14,285,1,-,30
S01010149,247,247,-,-,247,231,1,15,25,50,69,67,1,-,35
S01010150,349,349,-,-,349,325,-,24,1,64,17,245,-,-,22
S01010151,380,380,-,-,380,329,-,51,3,83,10,283,-,-,1
S01010152,432,432,-,-,432,425,-,7,2,110,12,305,3,-,-
S01010153,515,515,-,-,515,491,-,24,8,116,9,378,4,-,-
S01010154,485,485,-,-,485,432,1,52,3,115,40,325,-,-,2
S01010155,378,378,-,-,378,362,-,16,3,149,17,206,3,-,-
S01010156,288,288,-,-,288,281,-,7,5,71,15,194,2,1,-
S01010157,267,267,-,-,267,267,-,-,10,82,84,91,-,-,-
S01010158,468,468,-,-,468,461,-,7,6,102,60,298,-,-,2
S01010159,358,358,-,-,358,353,-,5,9,213,21,111,2,-,2
S01010160,332,331,-,1,334,308,-,26,3,9,2,317,2,-,1
S01010161,263,263,-,-,263,259,-,4,10,114,30,107,-,2,-
S01010162,368,368,-,-,368,360,-,8,1,3,8,355,-,1,-
S01010163,241,241,-,-,241,239,1,1,2,109,9,118,3,-,-
S01010164,286,286,-,-,286,282,-,4,7,202,8,66,2,-,1
S01010165,277,277,-,-,277,275,-,2,2,42,8,224,1,-,-
S01010166,353,353,-,-,353,347,-,6,10,23,246,73,1,-,-
S01010167,479,479,-,-,479,472,-,7,5,12,217,241,4,-,-
S01010168,237,237,-,-,237,236,-,1,15,56,27,139,-,-,-
S01010169,371,371,-,-,371,367,-,4,2,53,73,240,3,-,-
S01010170,273,273,-,-,273,271,-,2,3,20,119,131,-,-,-
S01010171,490,490,-,-,490,489,-,1,13,57,102,310,6,2,-
S01010172,490,490,-,-,490,481,1,8,3,8,9,469,1,-,-
S01010173,333,333,-,-,333,331,-,2,-,244,53,29,7,-,-
S01010174,255,255,-,-,255,250,-,5,17,104,45,87,2,-,-
S01010175,221,221,-,-,221,216,-,5,5,61,7,147,-,1,-
S01010176,374,374,-,-,374,369,-,5,5,104,31,229,4,-,1
S01010177,316,316,-,-,316,315,-,1,8,48,61,199,-,-,-
S01010178,400,400,-,-,400,391,-,9,20,72,133,165,2,-,8
S01010179,393,393,-,-,393,387,-,6,20,82,42,248,1,-,-
S01010180,239,239,-,-,239,215,-,24,34,137,11,55,2,-,-
S01010181,276,276,-,-,276,272,-,4,8,76,44,148,-,-,-
S01010182,314,314,-,-,314,307,-,7,57,121,33,103,-,-,-
S01010183,234,234,-,-,234,232,-,2,4,86,7,136,-,-,1
S01010184,287,287,-,-,287,286,-,1,12,110,24,140,1,-,-
S01010185,284,284,-,-,284,282,-,2,2,21,34,225,-,2,-
S01010186,251,251,-,-,251,246,3,2,90,118,34,9,-,-,-
S01010187,296,296,-,-,296,294,-,2,33,146,17,99,1,-,-
S01010188,311,311,-,-,311,304,5,2,92,127,40,52,-,-,-
S01010189,337,337,-,-,337,336,-,1,174,146,5,12,-,-,-
S01010190,257,257,-,-,257,253,-,4,193,45,3,14,1,-,1
S01010191,268,268,-,-,268,266,-,2,115,141,4,8,-,-,-
S01010192,300,300,-,-,300,294,-,6,156,91,40,13,-,-,-
S01010193,332,332,-,-,332,329,2,1,77,152,53,45,5,-,-
S01010194,276,276,-,-,276,268,-,8,5,96,130,43,1,1,-
S01010195,214,214,-,-,214,212,-,2,15,71,79,49,-,-,-
S01010196,275,275,-,-,275,274,-,1,5,63,62,142,3,-,-
S01010197,266,266,-,-,266,260,-,6,4,28,24,207,-,3,-
S01010198,397,397,-,-,397,394,-,3,7,45,53,291,-,1,-
S01010199,233,233,-,-,233,232,-,1,10,93,87,43,-,-,-
S01010200,307,307,-,-,307,305,-,2,6,120,94,85,-,2,-
S01010201,254,254,-,-,254,253,-,1,19,159,31,45,-,-,-
S01010202,441,441,-,-,441,365,-,76,4,8,31,396,1,1,-
S01010203,263,263,-,-,263,260,-,3,20,159,46,38,-,-,-
S01010204,387,387,-,-,387,381,-,6,3,24,17,340,3,-,-
S01010205,359,358,1,-,360,355,-,5,2,25,65,267,1,-,-
S01010206,316,313,-,3,324,255,-,69,4,6,3,307,1,2,1
S01010207,358,358,-,-,358,285,-,73,4,15,11,325,2,1,-
S01010208,575,573,2,-,577,565,1,11,2,4,23,542,3,3,-
S01010209,475,475,-,-,475,468,-,7,4,48,86,336,-,1,-
S01010210,425,425,-,-,425,416,1,8,3,83,106,226,4,3,-
S01010211,454,454,-,-,454,452,-,2,4,26,13,410,-,1,-
S01010212,572,572,-,-,572,559,-,13,3,19,49,495,4,2,-
S01010213,478,478,-,-,478,476,-,2,4,50,18,405,1,-,-
S01010214,400,400,-,-,400,396,-,4,56,218,96,29,1,-,-
S01010215,500,499,-,1,502,492,1,9,12,25,32,432,1,-,-
S01010216,363,361,1,1,367,361,1,5,7,13,19,326,2,-,-
S01010217,410,409,1,-,411,406,-,5,5,5,40,353,6,2,-
S01010218,608,607,1,-,609,587,-,22,5,13,13,574,3,-,1
S01010219,271,269,1,1,274,274,-,-,3,2,6,261,1,1,-
S01010220,280,279,1,-,281,279,2,-,-,-,2,262,8,9,-
S01010221,260,260,-,-,260,260,-,-,8,30,31,188,3,-,-
S01010222,284,283,1,-,285,285,-,-,-,1,13,268,1,2,-
S01010223,346,345,1,-,347,337,-,10,-,22,36,283,5,1,-
S01010224,470,470,-,-,470,469,-,1,10,75,58,322,2,3,-
S01010225,435,435,-,-,435,431,1,3,3,9,41,373,3,6,-
S01010226,453,450,1,2,460,394,-,66,2,3,3,450,-,2,-
S01010227,352,350,2,-,354,294,-,60,3,6,1,339,5,-,-
S01010228,390,390,-,-,390,384,-,6,2,13,8,366,1,-,-
S01010229,510,510,-,-,510,508,1,1,10,94,28,374,4,-,-
S01010230,576,574,-,2,580,577,-,3,2,4,9,556,7,2,-
S01010231,515,515,-,-,515,514,-,1,14,33,33,433,2,-,-
S01010232,492,491,1,-,493,485,1,7,2,89,32,369,1,-,-
S01010233,546,541,-,5,564,476,-,88,3,29,16,514,1,1,-
S01010234,568,568,-,-,568,562,-,6,2,1,4,552,4,5,-
S01010235,454,453,1,-,455,446,2,7,-,2,1,446,4,2,-
S01010236,391,391,-,-,391,378,3,10,4,9,37,311,30,-,-
S01010237,361,361,-,-,361,353,-,8,1,1,3,354,2,-,-
S01010238,469,469,-,-,469,455,-,14,2,2,5,459,1,-,-
S01010239,429,429,-,-,429,424,-,5,4,6,8,411,-,-,-
S01010240,404,404,-,-,404,398,-,6,-,1,2,400,-,1,-
S01010241,643,642,1,-,644,623,1,20,2,2,20,613,7,-,-
S01010242,479,477,2,-,481,455,2,24,2,18,17,439,4,1,-
S01010243,618,618,-,-,618,610,-,8,-,2,8,606,1,-,1
S01010244,523,521,2,-,525,440,-,85,-,1,3,506,4,11,-
S01010245,516,516,-,-,516,509,-,7,17,39,74,379,2,-,5
S01010246,443,442,1,-,444,433,-,11,2,46,12,381,3,-,-
S01010247,365,365,-,-,365,356,-,9,3,146,132,82,1,1,-
S01010248,468,468,-,-,468,456,1,11,2,2,1,460,3,-,-
S01010249,420,420,-,-,420,403,-,17,-,-,6,413,-,1,-
S01010250,398,398,-,-,398,390,1,7,-,2,5,385,2,4,-
S01010251,322,322,-,-,322,317,-,5,1,5,14,300,2,-,-
S01010252,314,314,-,-,314,297,-,17,3,5,29,228,49,-,-
S01010253,373,373,-,-,373,364,-,9,1,1,3,365,2,1,-
S01010254,583,583,-,-,583,581,-,2,1,6,33,537,4,2,-
S01010255,468,468,-,-,468,353,-,115,2,7,4,452,2,1,-
S01010256,521,521,-,-,521,516,-,5,-,1,5,510,-,5,-
S01010257,497,495,-,2,503,497,4,2,-,1,4,485,5,8,-
S01010258,442,442,-,-,442,424,7,11,2,2,14,407,10,7,-
S01010259,469,469,-,-,469,468,-,1,1,4,5,454,3,2,-
S01010260,660,655,2,3,699,685,2,12,1,3,3,606,51,35,-
S01010261,537,536,1,-,538,526,1,11,2,-,2,532,2,-,-
S01010262,536,535,1,-,537,535,-,2,1,4,6,521,3,2,-
S01010263,436,436,-,-,436,422,4,10,-,1,3,404,8,20,-
S01010264,574,574,-,-,574,557,2,15,2,2,16,518,10,26,-
S01010265,614,614,-,-,614,573,20,21,1,1,1,506,20,85,-
S01010266,256,256,-,-,256,237,2,17,-,4,1,238,12,1,-
S01010267,322,320,-,2,331,318,2,11,2,4,2,295,12,16,-
S01010268,426,425,-,1,429,417,-,12,4,4,5,387,29,-,-
S01010269,323,322,-,1,331,320,1,10,1,2,1,318,6,3,-
S01010270,816,813,-,3,824,817,2,5,-,1,10,801,7,5,-
S01010271,348,346,1,1,353,327,18,8,-,6,7,304,9,27,-
S01010272,903,901,2,-,905,703,5,197,8,6,3,872,6,10,-
S01010273,415,415,-,-,415,409,6,-,-,2,3,390,3,15,2
S01010274,373,373,-,-,373,342,18,13,3,4,5,337,6,18,-
S01010275,406,405,1,-,407,357,9,41,2,2,3,321,9,70,-
S01010276,643,643,-,-,643,625,9,9,1,1,-,629,2,10,-
S01010277,399,399,-,-,399,305,-,94,-,2,6,390,1,-,-
S01010278,372,372,-,-,372,330,-,42,1,1,12,354,3,1,-
S01010279,324,324,-,-,324,312,1,11,1,2,5,314,1,1,-
S01010280,441,441,-,-,441,426,-,15,5,1,3,415,14,3,-
S01010281,491,491,-,-,491,466,4,21,-,-,4,476,7,4,-
S01010282,652,652,-,-,652,645,2,5,1,2,4,642,2,1,-
S01010283,317,317,-,-,317,296,2,19,2,-,4,308,2,1,-
S01010284,649,649,-,-,649,638,5,6,1,2,7,632,7,-,-
S01010285,423,423,-,-,423,420,1,2,-,2,10,402,5,4,-
S01010286,371,371,-,-,371,365,3,3,-,2,5,354,8,2,-
S01010287,400,400,-,-,400,387,-,13,1,2,8,379,5,5,-
S01010288,354,353,-,1,356,349,3,4,4,1,16,306,26,3,-
S01010289,418,418,-,-,418,380,5,33,8,6,34,203,165,2,-
S01010290,301,301,-,-,301,278,11,12,1,3,2,259,34,2,-
S01010291,493,493,-,-,493,481,-,12,4,3,10,466,6,4,-
S01010292,417,416,1,-,418,409,-,9,2,3,1,409,3,-,-
S01010293,383,383,-,-,383,373,1,9,1,2,5,364,11,-,-
S01010294,281,281,-,-,281,275,-,6,4,-,2,273,2,-,-
S01010295,439,439,-,-,439,427,1,11,4,5,4,398,24,4,-
S01010296,301,301,-,-,301,291,1,9,-,4,5,287,3,2,-
S01010297,684,683,1,-,685,676,2,7,7,13,23,638,2,2,-
S01010298,516,516,-,-,516,515,-,1,2,3,20,471,17,3,-
S01010299,296,295,1,-,297,292,1,4,1,4,13,277,2,-,-
S01010300,484,484,-,-,484,478,-,6,3,7,11,446,10,6,1
S01010301,287,287,-,-,287,283,-,4,-,1,1,283,1,1,-
S01010302,384,381,1,2,392,388,1,3,3,5,5,368,10,1,-
S01010303,249,248,-,1,251,250,-,1,3,5,-,242,-,-,1
S01010304,336,336,-,-,336,332,-,4,3,5,16,307,3,2,-
S01010305,490,490,-,-,490,478,-,12,6,8,61,412,3,-,-
S01010306,455,455,-,-,455,449,1,5,1,-,35,408,5,6,-
S01010307,451,451,-,-,451,428,3,20,-,-,14,403,34,-,-
S01010308,488,487,1,-,489,480,2,7,1,1,29,367,90,1,-
S01010309,270,270,-,-,270,264,1,5,1,14,7,248,-,-,-
S01010310,381,380,-,1,383,381,-,2,4,38,35,299,6,1,-
S01010311,354,352,2,-,356,351,-,5,6,38,29,279,-,4,-
S01010312,428,428,-,-,428,425,1,2,11,100,59,256,-,2,-
S01010313,359,359,-,-,359,356,-,3,1,5,9,344,-,-,-
S01010314,559,558,-,1,561,550,1,10,6,16,64,470,4,1,-
S01010315,409,409,-,-,409,409,-,-,9,110,25,263,1,1,-
S01010316,304,304,-,-,304,304,-,-,6,8,8,280,1,1,-
S01010317,407,407,-,-,407,394,-,13,1,2,24,375,5,-,-
S01010318,308,308,-,-,308,304,1,3,1,4,3,292,3,5,-
S01010319,409,409,-,-,409,407,-,2,6,17,46,340,-,-,-
S01010320,451,449,2,-,453,437,1,15,1,2,4,437,4,3,2
S01010321,447,447,-,-,447,432,2,13,1,4,2,435,3,2,-
S01010322,559,558,-,1,566,549,3,14,6,11,13,509,26,1,-
S01010323,377,377,-,-,377,377,-,-,9,30,18,314,6,-,-
S01010324,410,410,-,-,410,403,-,7,6,110,55,237,2,-,-
S01010325,502,502,-,-,502,501,-,1,3,107,16,375,1,-,-
S01010326,497,497,-,-,497,494,-,3,18,79,62,338,-,-,-
S01010327,368,368,-,-,368,362,-,6,21,153,90,103,-,1,-
S01010328,451,451,-,-,451,445,-,6,44,103,68,231,4,-,1
S01010329,294,294,-,-,294,290,-,4,8,49,9,226,-,2,-
S01010330,306,306,-,-,306,299,-,7,9,58,99,140,-,-,-
S01010331,522,522,-,-,522,520,-,2,3,41,33,444,1,-,-
S01010332,280,280,-,-,280,279,-,1,7,74,123,75,-,1,-
S01010333,495,495,-,-,495,487,-,8,8,56,48,377,6,-,-
S01010334,440,440,-,-,440,433,-,7,5,166,198,71,-,-,-
S01010335,351,351,-,-,351,345,-,6,8,70,132,136,3,2,-
S01010336,400,400,-,-,400,379,-,21,2,16,43,336,-,3,-
S01010337,285,285,-,-,285,278,-,7,8,88,172,17,-,-,-
S01010338,369,368,1,-,370,356,1,13,4,40,119,207,-,-,-
S01010339,291,291,-,-,291,284,1,6,1,85,79,124,2,-,-
S01010340,361,361,-,-,361,349,-,12,4,58,60,239,-,-,-
S01010341,254,254,-,-,254,253,-,1,10,62,82,99,1,-,-
S01010342,303,303,-,-,303,302,-,1,22,126,15,139,1,-,-
S01010343,373,373,-,-,373,365,-,8,42,204,56,69,1,-,1
S01010344,431,431,-,-,431,419,-,12,2,65,47,316,-,1,-
S01010345,167,167,-,-,167,160,-,7,136,16,6,8,1,-,-
S01010346,420,420,-,-,420,410,1,9,61,112,76,148,21,2,-
S01010347,481,481,-,-,481,466,1,14,3,9,28,437,2,2,-
S01010348,489,489,-,-,489,483,-,6,21,17,24,426,1,-,-
S01010349,449,449,-,-,449,443,-,6,13,26,77,333,-,-,-
S01010350,484,484,-,-,484,475,-,9,6,23,58,397,-,-,-
S01010351,414,414,-,-,414,398,-,16,10,73,61,270,-,-,-
S01010352,289,289,-,-,289,276,-,13,4,12,19,254,-,-,-
S01010353,591,589,1,1,594,562,-,32,1,13,19,559,1,-,1
S01010354,378,378,-,-,378,375,-,3,-,52,65,258,1,1,1
S01010355,410,410,-,-,410,402,-,8,6,25,46,325,7,1,-
S01010356,312,312,-,-,312,308,-,4,8,71,51,181,-,1,-
S01010357,350,350,-,-,350,340,-,10,2,16,48,283,-,1,-
S01010358,538,538,-,-,538,507,-,31,1,1,19,509,8,-,-
S01010359,464,464,-,-,464,456,-,8,1,1,6,453,2,1,-
S01010360,286,286,-,-,286,285,-,1,3,11,36,233,3,-,-
S01010361,416,414,2,-,418,402,-,16,3,2,2,404,6,-,1
S01010362,631,628,1,2,642,611,-,31,2,12,11,596,15,5,1
S01010363,406,406,-,-,406,394,1,11,6,63,25,302,9,1,-
S01010364,342,342,-,-,342,337,-,5,6,170,148,14,4,-,-
S01010365,462,462,-,-,462,449,3,10,24,117,38,143,139,1,-
S01010366,512,512,-,-,512,502,2,8,9,200,4,286,13,-,-
S01010367,530,530,-,-,530,507,4,19,20,107,30,271,102,-,-
S01010368,371,371,-,-,371,355,6,10,7,36,55,137,135,1,-
S01010369,451,450,-,1,454,433,-,21,7,22,8,386,29,1,1
S01010370,342,341,-,1,344,335,3,6,7,9,25,220,83,-,-
S01010371,471,467,2,2,477,461,2,14,5,9,49,232,180,2,-
S01010372,232,232,-,-,232,226,-,6,1,5,5,216,5,-,-
S01010373,428,428,-,-,428,408,1,19,5,2,2,406,13,-,-
S01010374,479,478,-,1,481,469,3,9,2,4,37,334,102,2,-
S01010375,226,226,-,-,226,219,2,5,1,3,4,197,20,1,-
S01010376,381,380,-,1,384,367,1,16,3,3,11,338,22,7,-
S01010377,375,372,1,2,384,375,2,7,3,2,10,292,77,-,-
S01010378,286,286,-,-,286,272,-,14,3,-,7,234,41,1,-
S01010379,462,462,-,-,462,446,-,16,1,3,18,421,16,3,-
S01010380,530,530,-,-,530,521,-,9,1,5,6,502,15,1,-
S01010381,379,379,-,-,379,372,2,5,2,-,1,373,1,2,-
S01010382,492,492,-,-,492,483,2,7,1,1,1,485,1,2,1
S01010383,401,400,1,-,402,393,2,7,4,1,-,390,5,2,-
S01010384,466,466,-,-,466,454,1,11,-,5,4,430,27,-,-
S01010385,511,511,-,-,511,498,3,10,1,1,5,489,13,2,-
S01010386,538,538,-,-,538,528,-,10,-,5,36,490,2,4,1
S01010387,591,591,-,-,591,587,1,3,1,5,27,551,4,1,2
S01010388,607,605,2,-,609,584,4,21,5,7,53,538,4,2,-
S01010389,752,750,1,1,755,668,18,69,-,-,8,737,8,1,1
S01010390,732,731,1,-,733,716,1,16,-,10,5,717,1,-,-
S01010391,566,566,-,-,566,541,2,23,-,1,11,552,1,1,-
S01010392,446,445,1,-,447,416,11,20,1,3,3,435,3,2,-
S01010393,654,654,-,-,654,634,1,19,8,15,59,555,14,3,-
S01010394,525,525,-,-,525,516,-,9,-,5,12,496,10,2,-
S01010395,651,651,-,-,651,637,1,13,2,1,3,640,4,-,1
S01010396,597,597,-,-,597,585,2,10,3,2,1,567,21,3,-
S01010397,284,283,-,1,298,294,2,2,-,-,3,255,40,-,-
S01010398,604,604,-,-,604,583,3,18,1,9,71,514,9,-,-
S01010399,634,634,-,-,634,615,6,13,1,7,29,586,9,2,-
S01010400,550,550,-,-,550,530,1,19,25,26,33,414,49,3,-
S01010401,419,419,-,-,419,400,6,13,2,3,13,279,121,1,-
S01010402,529,529,-,-,529,513,1,15,5,3,24,492,5,-,-
S01010403,522,522,-,-,522,509,1,12,3,2,19,426,72,-,-
S01010404,416,415,1,-,417,406,4,7,8,15,28,158,207,1,-
S01010405,413,412,-,1,416,408,2,6,8,5,39,146,217,1,-
S01010406,441,439,-,2,447,435,2,10,3,2,21,187,234,-,-
S01010407,426,425,-,1,430,418,5,7,1,2,5,356,57,9,-
S01010408,282,282,-,-,282,272,1,9,9,33,46,192,1,1,-
S01010409,249,249,-,-,249,245,-,4,69,107,58,14,-,1,-
S01010410,255,255,-,-,255,248,-,7,20,98,33,101,3,-,-
S01010411,371,371,-,-,371,365,-,6,10,77,240,40,3,1,-
S01010412,434,434,-,-,434,424,4,6,20,34,30,264,86,-,-
S01010413,353,352,1,-,354,340,6,8,36,98,7,176,37,-,-
S01010414,503,503,-,-,503,497,1,5,9,45,192,251,5,1,-
S01010415,566,565,-,1,568,555,-,13,2,12,27,510,17,-,-
S01010416,331,331,-,-,331,322,2,7,7,51,91,182,-,-,-
S01010417,293,293,-,-,293,286,3,4,5,17,91,170,10,-,-
S01010418,571,571,-,-,571,561,2,8,5,18,53,470,21,4,-
S01010419,524,524,-,-,524,500,3,21,3,30,144,338,8,1,-
S01010420,312,312,-,-,312,290,-,22,9,51,150,100,2,-,-
S01010421,354,354,-,-,354,346,1,7,8,112,106,124,3,1,-
S01010422,489,489,-,-,489,483,-,6,4,23,285,164,12,1,-
S01010423,508,507,1,-,509,490,-,19,1,4,22,465,17,-,-
S01010424,480,480,-,-,480,471,1,8,4,10,65,381,3,1,16
S01010425,627,625,2,-,629,621,-,8,8,4,20,591,1,5,-
S01010426,415,415,-,-,415,406,-,9,2,9,90,291,23,-,-
S01010427,505,502,1,2,511,499,-,12,-,34,126,345,5,1,-
S01010428,328,328,-,-,328,319,1,8,36,7,122,162,1,-,-
S01010429,395,395,-,-,395,388,2,5,2,16,273,104,-,-,-
S01010430,448,447,-,1,459,451,1,7,-,2,7,445,5,-,-
S01010431,261,261,-,-,261,258,1,2,2,28,188,43,-,-,-
S01010432,470,468,1,1,474,464,-,10,1,4,26,441,1,1,-
S01010433,361,359,2,-,363,338,-,25,1,4,5,349,3,1,-
S01010434,341,341,-,-,341,331,1,9,-,-,7,332,2,-,-
S01010435,296,296,-,-,296,291,1,4,8,90,54,143,-,-,1
S01010436,443,443,-,-,443,433,-,10,2,10,36,392,2,1,-
S01010437,276,275,1,-,277,269,-,8,3,53,31,186,1,-,3
S01010438,373,373,-,-,373,370,-,3,2,60,87,223,1,-,-
S01010439,517,517,-,-,517,512,-,5,4,5,26,479,-,2,1
S01010440,332,332,-,-,332,322,-,10,2,58,56,214,1,1,-
S01010441,508,508,-,-,508,488,2,18,3,6,52,445,-,1,1
S01010442,406,405,1,-,407,383,-,24,1,11,15,377,1,1,1
S01010443,233,233,-,-,233,228,-,5,3,26,194,10,-,-,-
S01010444,294,294,-,-,294,289,1,4,1,54,207,32,-,-,-
S01010445,309,309,-,-,309,307,-,2,14,42,129,117,6,1,-
S01010446,333,333,-,-,333,329,-,4,36,89,188,16,4,-,-
S01010447,525,525,-,-,525,521,-,4,20,125,48,329,3,-,-
S01010448,363,363,-,-,363,360,1,2,39,91,73,160,-,-,-
S01010449,374,374,-,-,374,370,-,4,4,37,18,312,3,-,-
S01010450,416,416,-,-,416,407,-,9,4,93,50,268,1,-,-
S01010451,445,444,1,-,446,438,-,8,4,62,80,297,2,1,-
S01010452,417,417,-,-,417,408,-,9,2,123,32,259,1,-,-
S01010453,368,367,-,1,373,372,-,1,4,38,26,301,3,1,-
S01010454,392,392,-,-,392,383,-,9,4,94,73,221,-,-,-
S01010455,613,613,-,-,613,604,-,9,1,9,41,562,-,-,-
S01010456,321,321,-,-,321,313,-,8,2,96,23,195,5,-,-
S01010457,342,341,1,-,343,340,-,3,4,75,52,212,-,-,-
S01010458,414,414,-,-,414,411,-,3,3,103,13,294,1,-,-
S01010459,259,259,-,-,259,258,-,1,-,56,72,131,-,-,-
S01010460,348,348,-,-,348,346,1,1,88,28,5,226,1,-,-
S01010461,388,387,1,-,389,386,-,3,4,104,29,252,-,-,-
S01010462,461,461,-,-,461,437,-,24,2,9,3,443,2,2,-
S01010463,381,381,-,-,381,376,1,4,3,194,44,133,7,-,-
S01010464,249,249,-,-,249,248,-,1,2,80,42,124,1,-,-
S01010465,460,460,-,-,460,451,-,9,33,90,188,148,1,-,-
S01010466,472,472,-,-,472,458,1,13,13,67,137,248,4,2,1
S01010467,492,492,-,-,492,476,2,14,19,45,11,412,4,1,-
S01010468,424,424,-,-,424,417,4,3,115,14,2,291,2,-,-
S01010469,415,415,-,-,415,405,-,10,1,4,12,397,-,1,-
S01010470,372,372,-,-,372,364,1,7,4,137,68,163,-,-,-
S01010471,321,321,-,-,321,316,1,4,4,94,39,184,-,-,-
S01010472,301,301,-,-,301,290,-,11,2,5,69,222,2,1,-
S01010473,440,440,-,-,440,435,-,5,6,20,101,313,-,-,-
S01010474,440,440,-,-,440,431,-,9,3,8,6,421,1,1,-
S01010475,391,391,-,-,391,384,2,5,-,25,57,305,4,-,-
S01010476,538,538,-,-,538,523,1,14,3,26,115,392,2,-,-
S01010477,358,358,-,-,358,354,-,4,2,96,54,206,-,-,-
S01010478,646,646,-,-,646,628,1,17,1,101,30,513,1,-,-
S01010479,533,533,-,-,533,512,-,21,3,90,37,401,2,-,-
S01010480,289,289,-,-,289,285,-,4,1,124,60,103,1,-,-
S01010481,274,274,-,-,274,267,-,7,3,25,18,228,-,-,-
S01010482,357,357,-,-,357,354,-,3,1,162,106,86,2,-,-
S01010483,547,547,-,-,547,526,1,20,1,117,130,298,1,-,-
S01010484,249,249,-,-,249,246,-,3,3,86,54,106,-,-,-
S01010485,405,405,-,-,405,396,1,8,63,88,204,49,1,-,-
S01010486,372,372,-,-,372,371,-,1,102,201,46,23,-,-,-
S01010487,435,435,-,-,435,432,-,3,3,66,346,20,-,-,-
S01010488,348,348,-,-,348,338,-,10,7,19,10,309,1,1,1
S01010489,455,455,-,-,455,450,1,4,15,29,51,350,7,3,-
S01010490,312,312,-,-,312,308,-,4,1,14,40,257,-,-,-
S01010491,425,424,-,1,427,417,-,10,7,41,20,357,2,-,-
S01010492,257,257,-,-,257,255,-,2,14,74,58,109,2,-,-
S01010493,313,313,-,-,313,308,-,5,8,30,57,214,3,1,-
S01010494,255,255,-,-,255,252,-,3,2,105,9,139,-,-,-
S01010495,427,427,-,-,427,418,-,9,5,48,85,289,-,-,-
S01010496,393,393,-,-,393,388,-,5,9,62,48,273,1,-,-
S01010497,298,298,-,-,298,285,5,8,14,124,67,93,-,-,-
S01010498,361,361,-,-,361,357,-,4,8,98,51,204,-,-,-
S01010499,461,460,1,-,462,451,-,11,5,47,32,372,4,2,-
S01010500,402,402,-,-,402,398,-,4,60,85,72,185,-,-,-
S01010501,437,437,-,-,437,430,-,7,18,94,92,231,1,1,-
S01010502,331,331,-,-,331,331,-,-,14,152,55,109,1,-,-
S01010503,323,323,-,-,323,321,-,2,2,8,15,295,3,-,-
S01010504,399,399,-,-,399,247,136,16,337,40,5,6,-,4,7
