,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01010042,635,634,1,-,636,621,1,14,3,8,36,573,13,3,-
S01010043,464,464,-,-,464,451,1,12,-,4,27,427,2,3,1
S01010044,662,661,1,-,663,649,-,14,6,22,115,516,1,3,-
S01010045,266,266,-,-,266,258,-,8,1,11,33,221,-,-,-
S01010046,433,433,-,-,433,431,-,2,4,18,71,292,-,1,47
S01010047,479,479,-,-,479,471,-,8,2,7,50,419,-,1,-
S01010048,557,557,-,-,557,551,-,6,11,41,83,417,3,1,1
S01010049,398,398,-,-,398,395,-,3,5,12,25,332,3,14,7
S01010050,544,543,-,1,547,540,1,6,4,28,26,483,2,4,-
S01010051,445,445,-,-,445,431,-,14,6,8,36,383,2,10,-
S01010052,393,392,1,-,394,372,-,22,3,8,34,314,2,33,-
S01010053,389,386,3,-,392,384,-,8,3,17,94,275,2,-,1
S01010054,249,249,-,-,249,248,-,1,10,69,104,66,-,-,-
S01010055,461,461,-,-,461,457,-,4,12,25,100,307,5,1,11
S01010056,215,215,-,-,215,214,-,1,5,29,22,155,2,1,1
S01010057,223,223,-,-,223,216,-,7,4,12,2,195,9,-,1
S01010058,364,364,-,-,364,355,-,9,11,70,112,169,1,1,-
S01010059,382,382,-,-,382,371,-,11,16,18,6,337,4,1,-
S01010060,502,502,-,-,502,493,1,8,11,43,43,396,6,2,1
S01010061,253,253,-,-,253,253,-,-,1,72,30,149,1,-,-
S01010062,352,352,-,-,352,344,-,8,6,74,18,249,3,2,-
S01010063,579,579,-,-,579,546,-,33,4,11,11,540,3,10,-
S01010064,268,268,-,-,268,264,1,3,4,34,48,180,2,-,-
S01010065,418,418,-,-,418,413,-,5,5,67,47,299,-,-,-
S01010066,349,348,1,-,350,342,-,8,6,79,81,182,-,2,-
S01010067,301,301,-,-,301,297,-,4,4,14,17,263,3,-,-
S01010068,381,381,-,-,381,338,-,43,9,20,95,256,1,-,-
S01010069,353,353,-,-,353,340,-,13,38,168,59,86,2,-,-
S01010070,239,239,-,-,239,238,-,1,63,162,4,9,-,-,1
S01010071,372,372,-,-,372,367,-,5,18,171,49,128,4,2,-
S01010072,383,383,-,-,383,370,-,13,10,157,34,181,1,-,-
S01010073,355,355,-,-,355,349,1,5,2,244,8,101,-,-,-
S01010074,311,311,-,-,311,306,-,5,48,134,85,41,3,-,-
S01010075,307,307,-,-,307,303,-,4,4,57,235,11,-,-,-
S01010076,280,280,-,-,280,276,-,4,2,63,198,16,1,-,-
S01010077,303,303,-,-,303,302,-,1,10,55,79,159,-,-,-
S01010078,231,231,-,-,231,229,-,2,99,78,43,11,-,-,-
S01010079,356,356,-,-,356,349,-,7,196,86,25,38,10,1,-
S01010080,295,295,-,-,295,284,-,11,57,202,20,13,3,-,-
S01010081,302,302,-,-,302,300,-,2,103,132,32,26,7,2,-
S01010082,416,416,-,-,416,407,-,9,88,106,12,184,26,-,-
